,0.01,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1
Intention,0.4780734,0.3928228,0.3454716,0.3186732,0.2985636,0.2925702,0.2916682,0.2951611,0.2960222,0.2979913,0.3172078,0.3797973,0.7287394,0.8206005,0.8812653,0.9203633,0.9444871,0.9595514,0.9694606,0.9763151,0.9817458
ST,0.9719804,0.9717392,0.9714751,0.9712598,0.9710749,0.9708008,0.9706255,0.9702073,0.9698505,0.9691884,0.967707,0.9232651,0.07926284,0.02596824,0.0179334,0.01835596,0.0201202,0.02374688,0.0306908,0.050011,0.5600628
MG,0.01260884,0.01259212,0.01264448,0.01266068,0.01264756,0.0126306,0.01259144,0.01263164,0.01261064,0.012676,0.0128142,0.03107236,0.2521511,0.2689851,0.2554296,0.2286119,0.1943491,0.15192,0.102734,0.04651548,0.0075404
EG,0.01505316,0.01531432,0.01552924,0.01572576,0.01592884,0.016224,0.01642696,0.01679764,0.01717192,0.01774612,0.01906688,0.04415216,0.6448418,0.680509,0.7018457,0.7279732,0.7604833,0.7996569,0.8427883,0.8801258,0.4267229
SG,0.00035756,0.00035436,0.00035116,0.0003538,0.00034872,0.00034464,0.00035612,0.0003634,0.00036696,0.00038952,0.00041196,0.00151036,0.02374428,0.0245376,0.02479128,0.02505892,0.02504744,0.02467616,0.02378692,0.02334776,0.00567388
